timestamp,asignatura,estado_asistencia,alumno
2024-09-03 08:00:00,Administracion de Sistemas,ausente,Carlos Lopez
2024-09-03 08:00:00,Administracion de Sistemas,ausente,Ricardo Alvarez
2024-09-03 08:00:00,Administracion de Sistemas,presente,Juan Perez
2024-09-03 08:00:00,Administracion de Sistemas,presente,Ana Garcia
2024-09-03 08:00:00,Administracion de Sistemas,presente,Lucia Martinez
2024-09-03 08:00:00,Administracion de Sistemas,presente,Maria Hernandez
2024-09-03 08:00:00,Administracion de Sistemas,presente,Elena Rodriguez
2024-09-03 08:00:00,Administracion de Sistemas,presente,Javier Martinez
2024-09-03 08:00:00,Administracion de Sistemas,presente,Sofia Ramirez
2024-09-03 08:00:00,Administracion de Sistemas,presente,Diego Fernandez
2024-09-03 08:00:00,Administracion de Sistemas,presente,Paula Dominguez
2024-09-03 08:00:00,Administracion de Sistemas,presente,Andres Sanchez
2024-09-03 08:00:00,Administracion de Sistemas,presente,Miguel Ortiz
2024-09-03 08:00:00,Administracion de Sistemas,presente,Alejandro Vargas
2024-09-03 08:00:00,Administracion de Sistemas,presente,Marta Serrano
2024-09-03 08:00:00,Administracion de Sistemas,presente,Luis Hernandez
2024-09-03 08:01:00,Administracion de Sistemas,tarde,Pedro Gonzalez
2024-09-03 08:08:00,Administracion de Sistemas,tarde,Carmen Castro
2024-09-03 08:14:00,Administracion de Sistemas,tarde,Laura Lopez
2024-09-03 08:20:00,Administracion de Sistemas,tarde,Teresa Gomez
2024-09-03 10:00:00,Grandes Volumenes de Datos,ausente,Sofia Ramirez
2024-09-03 10:00:00,Grandes Volumenes de Datos,ausente,Carmen Castro
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Juan Perez
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Ana Garcia
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Carlos Lopez
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Lucia Martinez
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Maria Hernandez
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Elena Rodriguez
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Diego Fernandez
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Laura Lopez
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Paula Dominguez
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Andres Sanchez
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Miguel Ortiz
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Teresa Gomez
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Alejandro Vargas
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Marta Serrano
2024-09-03 10:00:00,Grandes Volumenes de Datos,presente,Luis Hernandez
2024-09-03 10:02:00,Grandes Volumenes de Datos,tarde,Javier Martinez
2024-09-03 10:04:00,Grandes Volumenes de Datos,tarde,Ricardo Alvarez
2024-09-03 10:07:00,Grandes Volumenes de Datos,tarde,Pedro Gonzalez
2024-09-03 12:00:00,Ingenieria del Software,ausente,Carlos Lopez
2024-09-03 12:00:00,Ingenieria del Software,ausente,Elena Rodriguez
2024-09-03 12:00:00,Ingenieria del Software,ausente,Javier Martinez
2024-09-03 12:00:00,Ingenieria del Software,ausente,Laura Lopez
2024-09-03 12:00:00,Ingenieria del Software,ausente,Alejandro Vargas
2024-09-03 12:00:00,Ingenieria del Software,ausente,Marta Serrano
2024-09-03 12:00:00,Ingenieria del Software,ausente,Luis Hernandez
2024-09-03 12:00:00,Ingenieria del Software,presente,Juan Perez
2024-09-03 12:00:00,Ingenieria del Software,presente,Ana Garcia
2024-09-03 12:00:00,Ingenieria del Software,presente,Lucia Martinez
2024-09-03 12:00:00,Ingenieria del Software,presente,Maria Hernandez
2024-09-03 12:00:00,Ingenieria del Software,presente,Sofia Ramirez
2024-09-03 12:00:00,Ingenieria del Software,presente,Diego Fernandez
2024-09-03 12:00:00,Ingenieria del Software,presente,Paula Dominguez
2024-09-03 12:00:00,Ingenieria del Software,presente,Andres Sanchez
2024-09-03 12:00:00,Ingenieria del Software,presente,Carmen Castro
2024-09-03 12:00:00,Ingenieria del Software,presente,Miguel Ortiz
2024-09-03 12:02:00,Ingenieria del Software,tarde,Ricardo Alvarez
2024-09-03 12:06:00,Ingenieria del Software,tarde,Pedro Gonzalez
2024-09-03 12:09:00,Ingenieria del Software,tarde,Teresa Gomez
2024-09-05 08:00:00,Empresa y Legislacion,ausente,Juan Perez
2024-09-05 08:00:00,Empresa y Legislacion,ausente,Elena Rodriguez
2024-09-05 08:00:00,Empresa y Legislacion,presente,Carlos Lopez
2024-09-05 08:00:00,Empresa y Legislacion,presente,Javier Martinez
2024-09-05 08:00:00,Empresa y Legislacion,presente,Sofia Ramirez
2024-09-05 08:00:00,Empresa y Legislacion,presente,Diego Fernandez
2024-09-05 08:00:00,Empresa y Legislacion,presente,Laura Lopez
2024-09-05 08:00:00,Empresa y Legislacion,presente,Ricardo Alvarez
2024-09-05 08:00:00,Empresa y Legislacion,presente,Paula Dominguez
2024-09-05 08:00:00,Empresa y Legislacion,presente,Andres Sanchez
2024-09-05 08:00:00,Empresa y Legislacion,presente,Teresa Gomez
2024-09-05 08:00:00,Empresa y Legislacion,presente,Alejandro Vargas
2024-09-05 08:00:00,Empresa y Legislacion,presente,Luis Hernandez
2024-09-05 08:03:00,Empresa y Legislacion,tarde,Marta Serrano
2024-09-05 08:07:00,Empresa y Legislacion,tarde,Lucia Martinez
2024-09-05 08:07:00,Empresa y Legislacion,tarde,Pedro Gonzalez
2024-09-05 08:09:00,Empresa y Legislacion,tarde,Maria Hernandez
2024-09-05 08:10:00,Empresa y Legislacion,tarde,Miguel Ortiz
2024-09-05 08:11:00,Empresa y Legislacion,tarde,Ana Garcia
2024-09-05 08:14:00,Empresa y Legislacion,tarde,Carmen Castro
2024-09-05 10:00:00,Administracion de Sistemas,ausente,Carlos Lopez
2024-09-05 10:00:00,Administracion de Sistemas,ausente,Lucia Martinez
2024-09-05 10:00:00,Administracion de Sistemas,ausente,Marta Serrano
2024-09-05 10:00:00,Administracion de Sistemas,presente,Juan Perez
2024-09-05 10:00:00,Administracion de Sistemas,presente,Maria Hernandez
2024-09-05 10:00:00,Administracion de Sistemas,presente,Elena Rodriguez
2024-09-05 10:00:00,Administracion de Sistemas,presente,Diego Fernandez
2024-09-05 10:00:00,Administracion de Sistemas,presente,Laura Lopez
2024-09-05 10:00:00,Administracion de Sistemas,presente,Paula Dominguez
2024-09-05 10:00:00,Administracion de Sistemas,presente,Andres Sanchez
2024-09-05 10:00:00,Administracion de Sistemas,presente,Carmen Castro
2024-09-05 10:00:00,Administracion de Sistemas,presente,Miguel Ortiz
2024-09-05 10:00:00,Administracion de Sistemas,presente,Teresa Gomez
2024-09-05 10:00:00,Administracion de Sistemas,presente,Alejandro Vargas
2024-09-05 10:02:00,Administracion de Sistemas,tarde,Luis Hernandez
2024-09-05 10:04:00,Administracion de Sistemas,tarde,Javier Martinez
2024-09-05 10:11:00,Administracion de Sistemas,tarde,Pedro Gonzalez
2024-09-05 10:12:00,Administracion de Sistemas,tarde,Ana Garcia
2024-09-05 10:14:00,Administracion de Sistemas,tarde,Sofia Ramirez
2024-09-05 10:19:00,Administracion de Sistemas,tarde,Ricardo Alvarez
2024-09-05 12:00:00,Grandes Volumenes de Datos,ausente,Carlos Lopez
2024-09-05 12:00:00,Grandes Volumenes de Datos,presente,Juan Perez
2024-09-05 12:00:00,Grandes Volumenes de Datos,presente,Ana Garcia
2024-09-05 12:00:00,Grandes Volumenes de Datos,presente,Lucia Martinez
2024-09-05 12:00:00,Grandes Volumenes de Datos,presente,Javier Martinez
2024-09-05 12:00:00,Grandes Volumenes de Datos,presente,Sofia Ramirez
2024-09-05 12:00:00,Grandes Volumenes de Datos,presente,Diego Fernandez
2024-09-05 12:00:00,Grandes Volumenes de Datos,presente,Laura Lopez
2024-09-05 12:00:00,Grandes Volumenes de Datos,presente,Ricardo Alvarez
2024-09-05 12:00:00,Grandes Volumenes de Datos,presente,Paula Dominguez
2024-09-05 12:00:00,Grandes Volumenes de Datos,presente,Teresa Gomez
2024-09-05 12:00:00,Grandes Volumenes de Datos,presente,Alejandro Vargas
2024-09-05 12:00:00,Grandes Volumenes de Datos,presente,Marta Serrano
2024-09-05 12:00:00,Grandes Volumenes de Datos,presente,Luis Hernandez
2024-09-05 12:05:00,Grandes Volumenes de Datos,tarde,Andres Sanchez
2024-09-05 12:08:00,Grandes Volumenes de Datos,tarde,Pedro Gonzalez
2024-09-05 12:14:00,Grandes Volumenes de Datos,tarde,Maria Hernandez
2024-09-05 12:15:00,Grandes Volumenes de Datos,tarde,Elena Rodriguez
2024-09-05 12:16:00,Grandes Volumenes de Datos,tarde,Miguel Ortiz
2024-09-05 12:17:00,Grandes Volumenes de Datos,tarde,Carmen Castro
2024-09-06 08:00:00,Ingenieria del Software,ausente,Carlos Lopez
2024-09-06 08:00:00,Ingenieria del Software,ausente,Javier Martinez
2024-09-06 08:00:00,Ingenieria del Software,presente,Juan Perez
2024-09-06 08:00:00,Ingenieria del Software,presente,Ana Garcia
2024-09-06 08:00:00,Ingenieria del Software,presente,Lucia Martinez
2024-09-06 08:00:00,Ingenieria del Software,presente,Maria Hernandez
2024-09-06 08:00:00,Ingenieria del Software,presente,Pedro Gonzalez
2024-09-06 08:00:00,Ingenieria del Software,presente,Elena Rodriguez
2024-09-06 08:00:00,Ingenieria del Software,presente,Sofia Ramirez
2024-09-06 08:00:00,Ingenieria del Software,presente,Diego Fernandez
2024-09-06 08:00:00,Ingenieria del Software,presente,Laura Lopez
2024-09-06 08:00:00,Ingenieria del Software,presente,Ricardo Alvarez
2024-09-06 08:00:00,Ingenieria del Software,presente,Paula Dominguez
2024-09-06 08:00:00,Ingenieria del Software,presente,Miguel Ortiz
2024-09-06 08:00:00,Ingenieria del Software,presente,Teresa Gomez
